Discharge,Feelings and Urge,Pain and Infection,Physical Conditions,Critical Feelings,Disease,Critical
Frequent Urination,Hunger,Blurred Vision,Swollen testicles,Disorientation,Diabetes,Critical
Frequent Urination,Tired,Headache,NIL,Severe pelvic pain,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Abdominal Pain,Rashes,Severe pelvic pain,Gonorrhea,Critical
Difficulties in stooling,Hunger,Muscle Aches,Swollen testicles,Slow heart rate and pulse,Typhoid,Critical
Painful Urination,Hunger,Headache,Rashes,Disorientation,Typhoid,Critical
Difficulties in stooling,Fever,Blurred Vision,Rose spots,Severe pelvic pain,Gonorrhea,Critical
Frequent Urination,Fever,Blurred Vision,Rose spots,Cough and breathing difficulties,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Muscle Aches,Rose spots,Slow heart rate and pulse,Gonorrhea,Critical
"Yellow,green discharge",Fever,Blurred Vision,Excessive Urination and Thirst,Slow heart rate and pulse,Diabetes,Critical
Frequent Urination,Urge to urinate,Headache,NIL,Confusion,Diabetes,Critical
"Yellow,green discharge",Tired,Frequent Infection,Swollen testicles,Cough and breathing difficulties,Typhoid,Critical
Frequent Urination,Hunger,Anal Itching and Pain,Swollen testicles,NIL,Diabetes,Critical
Frequent Urination,Tired,Headache,NIL,Confusion,Diabetes,Critical
"Yellow,green discharge",Fever,Muscle Aches,NIL,Cough and breathing difficulties,Typhoid,Critical
Difficulties in stooling,Urge to urinate,Blurred Vision,Rashes,Disorientation,Gonorrhea,Critical
Difficulties in stooling,Tired,Abdominal Pain,Bloody diarrhea,NIL,Typhoid,Critical
"Yellow,green discharge",Hunger,Headache,Bloody diarrhea,NIL,Typhoid,Critical
Frequent Urination,Fever,Headache,NIL,NIL,Gonorrhea,Not Critical
Painful Urination,Fever,Anal Itching and Pain,Swollen testicles,Seizures,Typhoid,Critical
"Yellow,green discharge",Fever,Anal Itching and Pain,Bloody diarrhea,Severe pelvic pain,Gonorrhea,Critical
Painful Urination,Fever,Swollen genitals,NIL,Seizures,Typhoid,Critical
Painful Urination,Urge to urinate,Swollen genitals,Bloody diarrhea,Confusion,Gonorrhea,Critical
Painful Urination,Tired,Abdominal Pain,Rose spots,NIL,Typhoid,Critical
Difficulties in stooling,Tired,Abdominal Pain,Rose spots,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Tired,Muscle Aches,Rose spots,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Hunger,Abdominal Pain,Swollen testicles,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Urge to urinate,Muscle Aches,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
"Yellow,green discharge",Fever,Frequent Infection,Excessive Urination and Thirst,NIL,Diabetes,Critical
"Yellow,green discharge",Hunger,Anal Itching and Pain,Excessive Urination and Thirst,Severe pelvic pain,Diabetes,Critical
Painful Urination,Tired,Muscle Aches,NIL,Cough and breathing difficulties,Typhoid,Critical
Frequent Urination,Hunger,Abdominal Pain,Excessive Urination and Thirst,NIL,Diabetes,Critical
Painful Urination,Fever,Anal Itching and Pain,NIL,Disorientation,Typhoid,Critical
Frequent Urination,Tired,Muscle Aches,Rashes,NIL,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Frequent Infection,Rashes,NIL,Gonorrhea,Critical
"Yellow,green discharge",Fever,Headache,Swollen testicles,Cough and breathing difficulties,Typhoid,Critical
Difficulties in stooling,Fever,Swollen genitals,Rose spots,Confusion,Typhoid,Critical
Frequent Urination,Fever,Abdominal Pain,NIL,Cough and breathing difficulties,Diabetes,Critical
"Yellow,green discharge",Hunger,Swollen genitals,NIL,Seizures,Typhoid,Critical
Difficulties in stooling,Urge to urinate,Anal Itching and Pain,Excessive Urination and Thirst,Slow heart rate and pulse,Diabetes,Critical
Painful Urination,Tired,Swollen genitals,NIL,NIL,Diabetes,Not Critical
"Yellow,green discharge",Hunger,Frequent Infection,NIL,Seizures,Typhoid,Critical
Painful Urination,Fever,Swollen genitals,Rashes,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Fever,Blurred Vision,Rose spots,Severe pelvic pain,Gonorrhea,Critical
Difficulties in stooling,Urge to urinate,Swollen genitals,Rashes,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Hunger,Swollen genitals,Swollen testicles,NIL,Typhoid,Critical
Difficulties in stooling,Fever,Muscle Aches,Rashes,NIL,Typhoid,Critical
Frequent Urination,Hunger,Swollen genitals,NIL,Slow heart rate and pulse,Diabetes,Critical
Painful Urination,Tired,Anal Itching and Pain,Rose spots,Disorientation,Typhoid,Critical
Frequent Urination,Urge to urinate,Abdominal Pain,Swollen testicles,Severe pelvic pain,Diabetes,Critical
Frequent Urination,Tired,Swollen genitals,Excessive Urination and Thirst,Confusion,Diabetes,Critical
Painful Urination,Fever,Swollen genitals,Excessive Urination and Thirst,NIL,Diabetes,Critical
Difficulties in stooling,Hunger,Frequent Infection,NIL,Slow heart rate and pulse,Typhoid,Critical
"Yellow,green discharge",Fever,Headache,Excessive Urination and Thirst,NIL,Diabetes,Critical
Frequent Urination,Urge to urinate,Abdominal Pain,Rashes,Confusion,Diabetes,Critical
Frequent Urination,Hunger,Abdominal Pain,Rose spots,Cough and breathing difficulties,Diabetes,Critical
Difficulties in stooling,Tired,Blurred Vision,Bloody diarrhea,Slow heart rate and pulse,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Swollen genitals,Excessive Urination and Thirst,NIL,Diabetes,Critical
Painful Urination,Urge to urinate,Headache,Swollen testicles,Severe pelvic pain,Gonorrhea,Critical
Painful Urination,Hunger,Headache,Rose spots,Seizures,Typhoid,Critical
Frequent Urination,Fever,Headache,Bloody diarrhea,Severe pelvic pain,Diabetes,Critical
"Yellow,green discharge",Hunger,Anal Itching and Pain,Bloody diarrhea,Confusion,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Headache,Rashes,Slow heart rate and pulse,Gonorrhea,Critical
Frequent Urination,Hunger,Frequent Infection,NIL,Disorientation,Diabetes,Critical
Frequent Urination,Tired,Blurred Vision,Rashes,Severe pelvic pain,Diabetes,Critical
Painful Urination,Tired,Muscle Aches,Rashes,NIL,Typhoid,Critical
"Yellow,green discharge",Tired,Blurred Vision,Bloody diarrhea,Disorientation,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Blurred Vision,Swollen testicles,NIL,Gonorrhea,Critical
Painful Urination,Urge to urinate,Anal Itching and Pain,NIL,Slow heart rate and pulse,Gonorrhea,Critical
Difficulties in stooling,Urge to urinate,Blurred Vision,Bloody diarrhea,Cough and breathing difficulties,Gonorrhea,Critical
"Yellow,green discharge",Fever,Frequent Infection,Bloody diarrhea,NIL,Typhoid,Critical
Frequent Urination,Tired,Abdominal Pain,Swollen testicles,Seizures,Diabetes,Critical
"Yellow,green discharge",Fever,Headache,Excessive Urination and Thirst,Cough and breathing difficulties,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Blurred Vision,NIL,Disorientation,Gonorrhea,Critical
Painful Urination,Urge to urinate,Frequent Infection,Excessive Urination and Thirst,Severe pelvic pain,Diabetes,Critical
Difficulties in stooling,Fever,Abdominal Pain,Rose spots,NIL,Typhoid,Critical
Difficulties in stooling,Urge to urinate,Muscle Aches,NIL,NIL,Gonorrhea,Not Critical
Frequent Urination,Tired,Anal Itching and Pain,NIL,Disorientation,Diabetes,Critical
Difficulties in stooling,Hunger,Headache,NIL,Confusion,Typhoid,Critical
Painful Urination,Urge to urinate,Headache,Rose spots,Disorientation,Gonorrhea,Critical
Painful Urination,Hunger,Muscle Aches,Swollen testicles,NIL,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Headache,Rose spots,Disorientation,Gonorrhea,Critical
"Yellow,green discharge",Fever,Blurred Vision,Bloody diarrhea,Confusion,Typhoid,Critical
Painful Urination,Urge to urinate,Frequent Infection,Swollen testicles,Disorientation,Gonorrhea,Critical
Difficulties in stooling,Urge to urinate,Headache,Rose spots,Slow heart rate and pulse,Gonorrhea,Critical
"Yellow,green discharge",Urge to urinate,Swollen genitals,Excessive Urination and Thirst,Severe pelvic pain,Diabetes,Critical
Frequent Urination,Urge to urinate,Blurred Vision,NIL,Severe pelvic pain,Diabetes,Critical
"Yellow,green discharge",Fever,Blurred Vision,NIL,NIL,Gonorrhea,Not Critical
Painful Urination,Tired,Muscle Aches,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
Difficulties in stooling,Fever,Blurred Vision,Rashes,Confusion,Typhoid,Critical
Difficulties in stooling,Tired,Blurred Vision,NIL,Slow heart rate and pulse,Typhoid,Critical
"Yellow,green discharge",Hunger,Frequent Infection,Excessive Urination and Thirst,Confusion,Diabetes,Critical
Frequent Urination,Tired,Headache,Swollen testicles,NIL,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Abdominal Pain,NIL,Confusion,Gonorrhea,Critical
"Yellow,green discharge",Fever,Anal Itching and Pain,Bloody diarrhea,NIL,Typhoid,Critical
Frequent Urination,Fever,Anal Itching and Pain,NIL,Severe pelvic pain,Diabetes,Critical
"Yellow,green discharge",Tired,Swollen genitals,Swollen testicles,Cough and breathing difficulties,Typhoid,Critical
"Yellow,green discharge",Fever,Anal Itching and Pain,Rose spots,Seizures,Typhoid,Critical
"Yellow,green discharge",Tired,Frequent Infection,NIL,NIL,Gonorrhea,Not Critical
"Yellow,green discharge",Fever,Swollen genitals,Rose spots,Confusion,Typhoid,Critical
Difficulties in stooling,Fever,Swollen genitals,Excessive Urination and Thirst,Cough and breathing difficulties,Diabetes,Critical
Difficulties in stooling,Fever,Anal Itching and Pain,NIL,Cough and breathing difficulties,Typhoid,Critical
"Yellow,green discharge",Hunger,Muscle Aches,NIL,Confusion,Typhoid,Critical
Difficulties in stooling,Fever,Blurred Vision,Rose spots,NIL,Typhoid,Critical
Frequent Urination,Fever,Muscle Aches,NIL,Seizures,Diabetes,Critical
"Yellow,green discharge",Fever,Headache,Bloody diarrhea,Seizures,Typhoid,Critical
"Yellow,green discharge",Hunger,Blurred Vision,Swollen testicles,Cough and breathing difficulties,Typhoid,Critical
Difficulties in stooling,Tired,Muscle Aches,Rose spots,NIL,Typhoid,Critical
Frequent Urination,Tired,Blurred Vision,Swollen testicles,Cough and breathing difficulties,Diabetes,Critical
Frequent Urination,Urge to urinate,Abdominal Pain,Rashes,NIL,Diabetes,Critical
Frequent Urination,Hunger,Headache,Rashes,NIL,Diabetes,Critical
Painful Urination,Urge to urinate,Abdominal Pain,Excessive Urination and Thirst,NIL,Diabetes,Critical
"Yellow,green discharge",Fever,Headache,Excessive Urination and Thirst,Slow heart rate and pulse,Diabetes,Critical
"Yellow,green discharge",Hunger,Headache,Rashes,Seizures,Typhoid,Critical
Frequent Urination,Hunger,Swollen genitals,Rose spots,NIL,Diabetes,Critical
Frequent Urination,Tired,Abdominal Pain,NIL,Seizures,Diabetes,Critical
"Yellow,green discharge",Fever,Blurred Vision,Swollen testicles,Cough and breathing difficulties,Typhoid,Critical
Painful Urination,Fever,Anal Itching and Pain,NIL,Seizures,Typhoid,Critical
Difficulties in stooling,Hunger,Anal Itching and Pain,NIL,Seizures,Typhoid,Critical
Painful Urination,Hunger,Headache,Bloody diarrhea,NIL,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Swollen genitals,Rashes,Cough and breathing difficulties,Gonorrhea,Critical
Frequent Urination,Urge to urinate,Muscle Aches,Bloody diarrhea,NIL,Diabetes,Critical
Frequent Urination,Urge to urinate,Anal Itching and Pain,NIL,Seizures,Diabetes,Critical
Painful Urination,Tired,Frequent Infection,NIL,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Tired,Muscle Aches,Excessive Urination and Thirst,Cough and breathing difficulties,Diabetes,Critical
Painful Urination,Urge to urinate,Frequent Infection,Rose spots,Disorientation,Gonorrhea,Critical
Difficulties in stooling,Urge to urinate,Frequent Infection,Rashes,Disorientation,Gonorrhea,Critical
Frequent Urination,Hunger,Swollen genitals,NIL,NIL,Typhoid,Not Critical
Painful Urination,Fever,Frequent Infection,Bloody diarrhea,NIL,Typhoid,Critical
Difficulties in stooling,Tired,Swollen genitals,NIL,NIL,Gonorrhea,Not Critical
Painful Urination,Tired,Headache,Bloody diarrhea,Confusion,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Frequent Infection,Bloody diarrhea,Disorientation,Gonorrhea,Critical
"Yellow,green discharge",Hunger,Headache,Rose spots,NIL,Typhoid,Critical
Difficulties in stooling,Tired,Anal Itching and Pain,Bloody diarrhea,Cough and breathing difficulties,Typhoid,Critical
"Yellow,green discharge",Fever,Anal Itching and Pain,Bloody diarrhea,Cough and breathing difficulties,Typhoid,Critical
Frequent Urination,Urge to urinate,Frequent Infection,Swollen testicles,Severe pelvic pain,Diabetes,Critical
"Yellow,green discharge",Hunger,Headache,NIL,Cough and breathing difficulties,Typhoid,Critical
Painful Urination,Hunger,Frequent Infection,Rose spots,Cough and breathing difficulties,Typhoid,Critical
Frequent Urination,Hunger,Frequent Infection,Bloody diarrhea,Confusion,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Anal Itching and Pain,NIL,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Tired,Frequent Infection,Bloody diarrhea,NIL,Typhoid,Critical
Painful Urination,Urge to urinate,Blurred Vision,Rashes,Seizures,Gonorrhea,Critical
Frequent Urination,Fever,Frequent Infection,NIL,Cough and breathing difficulties,Diabetes,Critical
Frequent Urination,Tired,Abdominal Pain,NIL,Disorientation,Diabetes,Critical
Difficulties in stooling,Fever,Headache,NIL,Seizures,Typhoid,Critical
Frequent Urination,Urge to urinate,Abdominal Pain,NIL,NIL,Typhoid,Not Critical
Difficulties in stooling,Urge to urinate,Abdominal Pain,NIL,NIL,Gonorrhea,Not Critical
"Yellow,green discharge",Fever,Frequent Infection,Swollen testicles,NIL,Typhoid,Critical
Painful Urination,Urge to urinate,Headache,Swollen testicles,Disorientation,Gonorrhea,Critical
"Yellow,green discharge",Fever,Frequent Infection,Bloody diarrhea,Severe pelvic pain,Gonorrhea,Critical
Painful Urination,Urge to urinate,Abdominal Pain,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
Painful Urination,Tired,Blurred Vision,Rashes,Cough and breathing difficulties,Typhoid,Critical
Frequent Urination,Tired,Blurred Vision,Rashes,Confusion,Diabetes,Critical
Frequent Urination,Tired,Anal Itching and Pain,Rose spots,Slow heart rate and pulse,Diabetes,Critical
"Yellow,green discharge",Tired,Muscle Aches,NIL,Confusion,Typhoid,Critical
Difficulties in stooling,Urge to urinate,Muscle Aches,Rose spots,Disorientation,Gonorrhea,Critical
Difficulties in stooling,Tired,Muscle Aches,NIL,Cough and breathing difficulties,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Anal Itching and Pain,Rose spots,Cough and breathing difficulties,Gonorrhea,Critical
Frequent Urination,Urge to urinate,Muscle Aches,Excessive Urination and Thirst,NIL,Diabetes,Critical
Difficulties in stooling,Fever,Swollen genitals,Excessive Urination and Thirst,NIL,Diabetes,Critical
Difficulties in stooling,Hunger,Muscle Aches,Rose spots,NIL,Typhoid,Critical
Painful Urination,Hunger,Muscle Aches,NIL,Cough and breathing difficulties,Typhoid,Critical
Painful Urination,Hunger,Anal Itching and Pain,Rose spots,NIL,Typhoid,Critical
Frequent Urination,Urge to urinate,Headache,Rashes,Severe pelvic pain,Diabetes,Critical
Frequent Urination,Hunger,Frequent Infection,Rashes,Cough and breathing difficulties,Diabetes,Critical
Frequent Urination,Urge to urinate,Frequent Infection,Rose spots,NIL,Diabetes,Critical
Painful Urination,Tired,Abdominal Pain,Bloody diarrhea,Disorientation,Typhoid,Critical
Frequent Urination,Hunger,Anal Itching and Pain,NIL,Seizures,Diabetes,Critical
"Yellow,green discharge",Fever,Anal Itching and Pain,Swollen testicles,NIL,Typhoid,Critical
Frequent Urination,Hunger,Headache,Rose spots,Severe pelvic pain,Diabetes,Critical
"Yellow,green discharge",Fever,Swollen genitals,Swollen testicles,NIL,Typhoid,Critical
Painful Urination,Urge to urinate,Frequent Infection,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
Difficulties in stooling,Fever,Headache,Bloody diarrhea,Slow heart rate and pulse,Typhoid,Critical
Frequent Urination,Tired,Blurred Vision,Rose spots,NIL,Diabetes,Critical
Painful Urination,Tired,Blurred Vision,NIL,Slow heart rate and pulse,Typhoid,Critical
"Yellow,green discharge",Tired,Frequent Infection,Rose spots,NIL,Typhoid,Critical
Difficulties in stooling,Fever,Swollen genitals,NIL,Disorientation,Typhoid,Critical
Frequent Urination,Tired,Headache,NIL,Cough and breathing difficulties,Diabetes,Critical
Painful Urination,Tired,Blurred Vision,Rose spots,Cough and breathing difficulties,Typhoid,Critical
"Yellow,green discharge",Hunger,Abdominal Pain,NIL,NIL,Diabetes,Not Critical
"Yellow,green discharge",Fever,Swollen genitals,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
Painful Urination,Tired,Frequent Infection,Swollen testicles,Seizures,Typhoid,Critical
Frequent Urination,Urge to urinate,Headache,NIL,Disorientation,Diabetes,Critical
Difficulties in stooling,Tired,Swollen genitals,NIL,Seizures,Typhoid,Critical
Painful Urination,Hunger,Abdominal Pain,NIL,Slow heart rate and pulse,Typhoid,Critical
Painful Urination,Fever,Swollen genitals,Bloody diarrhea,Disorientation,Typhoid,Critical
Painful Urination,Hunger,Abdominal Pain,NIL,Severe pelvic pain,Gonorrhea,Critical
Frequent Urination,Hunger,Abdominal Pain,NIL,Severe pelvic pain,Diabetes,Critical
Frequent Urination,Hunger,Swollen genitals,Bloody diarrhea,Severe pelvic pain,Diabetes,Critical
Frequent Urination,Tired,Headache,NIL,NIL,Gonorrhea,Not Critical
"Yellow,green discharge",Urge to urinate,Abdominal Pain,Swollen testicles,NIL,Gonorrhea,Critical
Painful Urination,Fever,Swollen genitals,Swollen testicles,Seizures,Typhoid,Critical
Painful Urination,Fever,Frequent Infection,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
Difficulties in stooling,Tired,Muscle Aches,Rashes,Cough and breathing difficulties,Typhoid,Critical
Difficulties in stooling,Tired,Frequent Infection,Bloody diarrhea,Cough and breathing difficulties,Typhoid,Critical
Painful Urination,Fever,Frequent Infection,Rose spots,Cough and breathing difficulties,Typhoid,Critical
Frequent Urination,Urge to urinate,Swollen genitals,Bloody diarrhea,NIL,Diabetes,Critical
